timestamp,type,event
0,null,null
1389611510976,log,LoadOntology
1389611540919,log,M_hierarchy
1389611542338,log,EntitySelected
1389611545759,eye,Class hierarchy
1389611550217,log,DescriptionSelected
1389611569711,log,EntityModified
1389611569910,eye,Class hierarchy
1389611571457,log,EntitySelected
1389611571727,eye,Class hierarchy
1389611572321,log,DescriptionSelected
1389611582927,log,EntityModified
1389611583918,log,EntitySelected
1389611584266,eye,Class hierarchy
1389611585480,log,DescriptionSelected
1389611595963,log,EntityModified
1389611596854,log,EntitySelected
1389611597536,eye,Class hierarchy
1389611599049,log,DescriptionSelected
1389611599070,eye,Class hierarchy
1389611623289,log,EntityModified
1389611624081,log,EntitySelected
1389611624436,eye,Class hierarchy
1389611625209,log,DescriptionSelected
1389611642594,log,EntityModified
1389611643366,log,EntitySelected
1389611643406,eye,Class hierarchy
1389611644567,log,DescriptionSelected
1389611655732,log,EntityModified
1389611656645,log,EntitySelected
1389611656993,eye,Class hierarchy
1389611658008,log,DescriptionSelected
1389611667260,log,EntityModified
1389611668467,log,EntitySelected
1389611670136,eye,Class hierarchy
1389611671063,log,DescriptionSelected
1389611687839,log,EntityModified
1389611688690,log,EntitySelected
1389611691427,eye,File menu
1389611692611,eye,Class hierarchy
1389611693432,log,DescriptionSelected
1389611705237,log,EntityModified
1389611706878,log,EntitySelected
1389611711322,eye,Class hierarchy
1389611712056,log,DescriptionSelected
1389611724567,log,EntityModified
1389611725311,eye,Class hierarchy
1389611727321,log,EntityEdited:finished
1389611728953,log,EntitySelected
1389611730694,eye,Class hierarchy
1389611731480,log,DescriptionSelected
1389611743150,log,EntityModified
1389611746755,log,SaveOntology
1389611749738,log,EntitySelected
1389611750839,eye,Class hierarchy
1389611751584,log,DescriptionSelected
1389611762760,log,EntityModified
1389611763841,log,EntitySelected
1389611764170,eye,Class hierarchy
1389611764751,log,DescriptionSelected
1389611769778,log,EntityModified
1389611770480,log,EntitySelected
1389611770851,eye,Class hierarchy
1389611773327,log,DescriptionSelected
1389611773334,eye,Class hierarchy
1389611821645,log,EntityModified
1389611822999,log,EntitySelected
1389611832820,eye,File menu
1389611833071,eye,Class hierarchy
1389611833631,log,DescriptionSelected
1389611844994,log,EntityModified
1389611846194,log,EntitySelected
1389611846492,eye,Class hierarchy
1389611847150,log,DescriptionSelected
1389611855916,log,EntityModified
1389611857014,log,EntitySelected
1389611857577,eye,Class hierarchy
1389611859440,log,EntitySelected
1389611859910,eye,Class hierarchy
1389611860168,log,EntitySelected
1389611860544,eye,Class hierarchy
1389611864930,log,M_description_selected
1389611873465,log,EntityModified
1389611873827,eye,Class hierarchy
1389611874848,log,EntitySelected
1389611874960,eye,Class hierarchy
1389611875998,log,DescriptionSelected
1389611888674,log,EntityModified
1389611889195,eye,Class hierarchy
1389611891248,log,M_entity_selected
1389611891329,eye,Class hierarchy
1389611893256,log,M_entity_selected
1389611893629,eye,Class hierarchy
1389611894327,log,EntitySelected
1389611896245,eye,Class hierarchy
1389611896838,log,DescriptionSelected
1389611908620,log,EntityModified
1389611909097,eye,Class hierarchy
1389611909711,log,EntitySelected
1389611910031,eye,Class hierarchy
1389611910558,log,DescriptionSelected
1389611910614,eye,Class hierarchy
1389611923501,log,EntityModified
1389611923826,eye,Class hierarchy
1389611925143,eye,Description
1389611926183,log,EntitySelected
1389611926776,eye,Class hierarchy
1389611929938,log,HExpanded
1389611932935,log,M_entity_selected
1389611933176,eye,Class hierarchy
1389611933806,log,DescriptionSelected
1389611946306,log,EntityModified
1389611947167,log,EntitySelected
1389611947614,eye,Class hierarchy
1389611948005,log,DescriptionSelected
1389611959983,log,EntityModified
1389611960239,eye,Class hierarchy
1389611961016,log,EntitySelected
1389611961455,eye,Class hierarchy
1389611965126,log,DescriptionSelected
1389611976700,log,EntityModified
1389611981278,log,EntityEdited:finished
1389611981279,log,DescriptionSelected
1389611982639,log,M_entity_selected
1389611982703,eye,Class hierarchy
1389611984135,log,EntitySelected
1389611985037,eye,File menu
1389611985270,eye,Class hierarchy
1389611985949,log,DescriptionSelected
1389611998924,log,EntityModified
1389611999862,log,EntitySelected
1389612000190,eye,Class hierarchy
1389612000829,log,DescriptionSelected
1389612008725,log,EntityModified
1389612013347,log,SaveOntology
1389612013749,eye,Class hierarchy
1389612022886,log,EntitySelected
1389612029112,eye,File menu
1389612030029,eye,Class hierarchy
1389612045240,eye,Popup
1389612048973,eye,Class hierarchy
1389612049324,eye,Popup
1389612050136,log,ClassAddition
1389612050574,eye,Class hierarchy
1389612051301,log,DescriptionSelected
1389612052640,eye,Class hierarchy
1389612055425,eye,Class hierarchy
1389612058491,eye,Annotations-Usage
1389612060308,eye,Class hierarchy
1389612061059,eye,Annotations-Usage
1389612067628,log,Convert into defined
1389612067672,eye,Annotations-Usage
1389612071805,eye,File menu
1389612075000,log,ReasonerInvoked
1389612075455,eye,Description
1389612076919,log,M_entity_selected
1389612080567,log,M_hierarchy_I
1389612083738,log,EntitySelected
1389612083838,eye,File menu
1389612085105,eye,Class hierarchy
1389612094471,eye,Description
1389612094998,log,ClassAddition
1389612095056,log,DescriptionSelected
1389612095883,log,EntitySelected
1389612098156,eye,Class hierarchy
1389612100639,eye,Annotations-Usage
1389612110149,eye,Popup
1389612110555,log,ClassAddition
1389612111472,log,EntitySelected
1389612112319,log,M_hierarchy
1389612115149,eye,Class hierarchy
1389612121293,eye,Annotations-Usage
1389612121915,eye,Class hierarchy
1389612123515,eye,Popup
1389612124413,log,ClassAddition
1389612124881,eye,Class hierarchy
1389612126013,log,EntitySelected
1389612126765,eye,Description
1389612128550,log,EntitySelected
1389612129542,log,DescriptionSelected
1389612137526,log,Convert into defined
1389612138315,eye,Class hierarchy
1389612138506,log,EntitySelected
1389612139082,eye,Description
1389612139309,log,DescriptionSelected
1389612146404,log,Convert into defined
1389612148723,log,EntitySelected
1389612150413,log,DescriptionSelected
1389612158857,log,Convert into defined
1389612161416,log,SaveOntology
1389612161834,eye,File menu
1389612163253,log,ReasonerInvoked
1389612163534,eye,Description
1389612166966,log,M_hierarchy
1389612203644,log,LoadOntology
1389612214173,log,M_hierarchy
1389612215142,log,EntitySelected
1389612215661,eye,File menu
1389612216361,eye,Class hierarchy
1389612216845,eye,File menu
1389612223093,log,HExpanded
1389612223465,log,EntitySelected
1389612227698,eye,Property hierarchy
1389612229153,eye,Annotations-Usage
1389612230736,eye,Property hierarchy
1389612231053,eye,Annotations-Usage
1389612231653,eye,Popup
1389612231886,eye,Annotations-Usage
1389612232122,log,PropertyAddition
1389612232853,eye,Annotations-Usage
1389612235953,eye,Class hierarchy
1389612240686,log,HExpanded
1389612241742,log,EntitySelected
1389612242158,eye,Class hierarchy
1389612244332,log,DescriptionSelected
1389612266740,log,EntityModified
1389612266977,eye,Class hierarchy
1389612268077,log,EntitySelected
1389612268294,eye,Class hierarchy
1389612268988,log,DescriptionSelected
1389612271687,log,EntityModified
1389612272061,eye,Class hierarchy
1389612275286,log,EntitySelected
1389612275770,eye,Class hierarchy
1389612276019,log,DescriptionSelected
1389612277871,log,EntityModified
1389612279134,log,EntitySelected
1389612279437,eye,Class hierarchy
1389612285221,log,EntitySelected
1389612285322,eye,Class hierarchy
1389612285949,log,DescriptionSelected
1389612287561,log,EntityModified
1389612292024,log,EntitySelected
1389612292315,eye,Class hierarchy
1389612292903,log,DescriptionSelected
1389612292932,eye,Class hierarchy
1389612294499,log,EntityModified
1389612295374,log,EntitySelected
1389612295682,eye,Class hierarchy
1389612296316,log,DescriptionSelected
1389612297726,log,EntityModified
1389612301460,log,EntitySelected
1389612302260,log,DescriptionSelected
1389612303757,log,EntityModified
1389612308777,log,EntitySelected
1389612308975,eye,Class hierarchy
1389612309612,log,DescriptionSelected
1389612311082,log,EntityModified
1389612311957,log,EntitySelected
1389612312225,eye,Class hierarchy
1389612312611,log,DescriptionSelected
1389612314403,log,EntityModified
1389612322470,log,EntitySelected
1389612323332,log,DescriptionSelected
1389612326628,log,EntityModified
1389612331024,log,EntitySelected
1389612331295,eye,Class hierarchy
1389612331980,log,DescriptionSelected
1389612336187,log,EntityModified
1389612338332,log,EntityEdited:finished
1389612339932,log,EntitySelected
1389612345307,eye,Class hierarchy
1389612347142,log,EntitySelected
1389612347207,eye,Class hierarchy
1389612347757,log,EntitySelected
1389612348074,eye,Class hierarchy
1389612352315,log,DescriptionSelected
1389612352374,eye,Description
1389612354794,log,EntityModified
1389612355571,log,EntitySelected
1389612355858,eye,Class hierarchy
1389612356588,log,DescriptionSelected
1389612358162,log,EntityModified
1389612358906,log,EntitySelected
1389612359642,eye,Class hierarchy
1389612360052,log,DescriptionSelected
1389612363878,log,EntityModified
1389612364627,log,EntitySelected
1389612365683,log,DescriptionSelected
1389612370041,log,EntityModified
1389612371841,log,EntitySelected
1389612372477,eye,Class hierarchy
1389612372747,log,DescriptionSelected
1389612374533,log,EntityModified
1389612375267,log,EntitySelected
1389612375560,eye,Class hierarchy
1389612376147,log,DescriptionSelected
1389612387502,log,EntityModified
1389612387952,eye,Description
1389612394019,log,EntitySelected
1389612394121,eye,Class hierarchy
1389612394787,log,DescriptionSelected
1389612396729,log,EntityModified
1389612402409,eye,Class hierarchy
1389612406017,log,EntitySelected
1389612406759,eye,Class hierarchy
1389612407099,log,DescriptionSelected
1389612408709,log,EntityModified
1389612408926,eye,Class hierarchy
1389612409226,eye,Description
1389612428537,log,EntitySelected
1389612428871,eye,Class hierarchy
1389612429503,log,DescriptionSelected
1389612431458,log,EntityModified
1389612436538,log,EntitySelected
1389612436823,eye,Class hierarchy
1389612437435,log,DescriptionSelected
1389612439236,log,EntityModified
1389612447914,log,EntitySelected
1389612448193,eye,Class hierarchy
1389612448891,log,DescriptionSelected
1389612448910,eye,Class hierarchy
1389612454420,log,EntityModified
1389612454877,eye,Class hierarchy
1389612456820,log,M_description_selected
1389612460919,log,EntityModified
1389612461152,eye,Class hierarchy
1389612468347,log,EntitySelected
1389612468491,eye,Class hierarchy
1389612469691,eye,Description
1389612470175,eye,Class hierarchy
1389612471067,log,DescriptionSelected
1389612473109,log,EntityModified
1389612473408,eye,Class hierarchy
1389612479715,log,EntitySelected
1389612480596,log,DescriptionSelected
1389612488406,log,EntityModified
1389612492432,log,EntitySelected
1389612493404,eye,Class hierarchy
1389612493626,log,DescriptionSelected
1389612494867,log,EntityModified
1389612504610,log,SaveOntology
1389612524611,log,M_hierarchy
1389612528229,eye,Class hierarchy
1389612536616,log,ClassAddition
1389612536626,log,DescriptionSelected
1389612537313,eye,Class hierarchy
1389612537946,log,DescriptionSelected
1389612551055,log,Convert into defined
1389612552340,eye,Class hierarchy
1389612553786,log,EntitySelected
1389612554739,log,M_hierarchy
1389612560078,eye,Popup
1389612563378,eye,Class hierarchy
1389612563644,eye,Popup
1389612567682,log,ClassAddition
1389612568850,log,DescriptionSelected
1389612572978,eye,Class hierarchy
1389612577636,log,Convert into defined
1389612579086,log,EntitySelected
1389612580626,log,M_hierarchy
1389612582895,eye,Class hierarchy
1389612589825,log,ClassAddition
1389612589829,eye,Class hierarchy
1389612589870,log,DescriptionSelected
1389612590445,eye,Class hierarchy
1389612590817,log,DescriptionSelected
1389612596762,log,Convert into defined
1389612597058,eye,Description
1389612597591,eye,Annotations-Usage
1389612598851,log,EntitySelected
1389612602640,eye,Class hierarchy
1389612614498,log,ClassAddition
