timestamp,type,event
1389972257071,log,LoadOntology
1389972296220,eye,File menu
1389972299294,log,LoadOntology
1389972320553,log,M_hierarchy
1389972357104,eye,Class hierarchy
1389972361887,eye,Property hierarchy
1389972361987,eye,Class hierarchy
1389972362811,log,HExpanded
1389972363371,eye,Class hierarchy
1389972364759,log,EntitySelected
1389972365154,eye,Class hierarchy
1389972376004,eye,Class hierarchy
1389972380142,log,DescriptionSelected
1389972474019,log,EntityModified
1389972475000,eye,Description
1389972477666,log,EntitySelected
1389972481367,eye,Class hierarchy
1389972482245,log,DescriptionSelected
1389972507627,log,EntityModified
1389972509316,eye,Class hierarchy
1389972510066,log,EntitySelected
1389972511772,log,DescriptionSelected
1389972532176,log,EntityModified
1389972533966,log,EntitySelected
1389972536060,log,DescriptionSelected
1389972565365,log,EntityModified
1389972565529,eye,Class hierarchy
1389972572407,log,EntitySelected
1389972574780,log,DescriptionSelected
1389972579706,log,EntityModified
1389972585376,eye,Class hierarchy
1389972587713,log,EntitySelected
1389972593278,log,EntitySelected
1389972595075,log,DescriptionSelected
1389972621184,log,EntityModified
1389972625662,log,EntitySelected
1389972626875,log,DescriptionSelected
1389972630621,log,EntityModified
1389972630723,eye,Class hierarchy
1389972634373,eye,Class hierarchy
1389972634623,eye,Description
1389972635190,eye,Class hierarchy
1389972637285,log,EntitySelected
1389972638330,log,DescriptionSelected
1389972641913,log,EntityModified
1389972642478,eye,Class hierarchy
1389972650205,log,EntitySelected
1389972651483,log,DescriptionSelected
1389972677793,log,EntityModified
1389972681307,eye,Class hierarchy
1389972682457,eye,Description
1389972684173,log,EntitySelected
1389972685314,log,DescriptionSelected
1389972688944,log,EntityModified
1389972689023,eye,Class hierarchy
1389972690214,log,EntitySelected
1389972690457,eye,Class hierarchy
1389972691242,log,DescriptionSelected
1389972693754,log,EntityModified
1389972694057,eye,Class hierarchy
1389972694290,eye,Description
1389972695757,eye,Class hierarchy
1389972698229,log,EntitySelected
1389972701490,eye,Annotations-Usage
1389972703402,log,DescriptionSelected
1389972724472,log,EntityModified
1389972724697,eye,Class hierarchy
1389972725480,eye,Annotations-Usage
1389972725494,log,EntitySelected
1389972725680,eye,Class hierarchy
1389972727915,log,DescriptionSelected
1389972730681,log,EntityModified
1389972735991,eye,Class hierarchy
1389972736391,eye,Description
1389972736758,eye,Class hierarchy
1389972773341,eye,Annotations-Usage
1389972773558,eye,Class hierarchy
1389972777084,log,EntitySelected
1389972786175,eye,Class hierarchy
1389972792740,log,EntitySelected
1389972793805,eye,Class hierarchy
1389972796155,eye,Popup
1389972800821,eye,Class hierarchy
1389972815822,eye,Popup
1389972818288,eye,Class hierarchy
1389972826044,log,EntitySelected
1389972827055,eye,Class hierarchy
1389972835189,eye,Popup
1389972835355,eye,Class hierarchy
1389972841322,eye,Annotations-Usage
1389972841622,eye,Class hierarchy
1389972847955,log,ClassAddition
1389972852042,log,DescriptionSelected
1389972886939,eye,Class hierarchy
1389972889089,eye,Class hierarchy
1389972896055,log,Convert into defined
1389972896906,eye,Class hierarchy
1389972897206,eye,Popup
1389972897656,eye,Class hierarchy
1389972900889,eye,Popup
1389972903310,log,EntitySelected
1389972903606,eye,Class hierarchy
1389972911006,eye,Popup
1389972912956,eye,Class hierarchy
1389972913473,eye,Popup
1389972914173,eye,Annotations-Usage
1389972914339,eye,Popup
1389972914523,eye,Class hierarchy
1389972915006,eye,Description
1389972916606,eye,Class hierarchy
1389972916956,eye,Description
1389972917889,eye,Class hierarchy
1389972922505,log,ClassAddition
1389972924923,eye,Class hierarchy
1389972925537,log,DescriptionSelected
1389972939906,eye,Class hierarchy
1389972940823,eye,Description
1389972946040,eye,Class hierarchy
1389972946567,log,Convert into defined
1389972951580,log,M_entity_selected
1389972954840,eye,Class hierarchy
1389972958323,eye,Property hierarchy
1389972960074,eye,Class hierarchy
1389972969609,log,ClassAddition
1389972971521,log,DescriptionSelected
1389972981241,eye,Class hierarchy
1389972989050,log,Convert into defined
1389972992158,eye,Annotations-Usage
1389972992507,eye,Description
1389972992724,eye,Class hierarchy
1389973002908,eye,Description
1389973003191,eye,Class hierarchy
1389973008958,eye,Description
1389973010058,eye,Class hierarchy
1389973010275,eye,Description
1389973011141,eye,Class hierarchy
1389973014425,eye,Popup
1389973015008,eye,Class hierarchy
1389973023841,log,EntityDeleted
1389973023941,eye,Class hierarchy
1389973025749,log,EntitySelected
1389973028808,eye,Class hierarchy
1389973031858,eye,Popup
1389973034728,eye,Class hierarchy
1389973037045,eye,Description
1389973037845,eye,Class hierarchy
1389973042414,log,ClassAddition
1389973045261,eye,Class hierarchy
1389973046040,log,DescriptionSelected
1389973048161,eye,Property hierarchy
1389973048811,eye,Class hierarchy
1389973059162,eye,Description
1389973059345,eye,Class hierarchy
1389973066436,log,Convert into defined
1389973068378,eye,Class hierarchy
1389973068563,log,EntitySelected
1389973068712,eye,Property hierarchy
1389973072778,eye,Class hierarchy
1389973074245,eye,Popup
1389973075612,eye,Class hierarchy
1389973076579,eye,Popup
1389973078162,eye,Class hierarchy
1389973080945,eye,Class hierarchy
1389973084645,log,ClassAddition
1389973086976,log,DescriptionSelected
