timestamp,type,event
1390840637339,null,null
1391430748852,log,LoadOntology
1391430783799,log,M_hierarchy
1391430785861,log,EntitySelected
1391430791504,log,HExpanded
1391430792880,log,EntitySelected
1391430796730,eye,Class hierarchy
1391430803930,eye,Description
1391430811497,log,EntitySelected
1391430815487,log,M_hierarchy
1391430829559,log,EntitySelected
1391430838836,eye,Class hierarchy
1391430852108,eye,Description
1391430869965,eye,Class hierarchy
1391430873215,eye,Annotations-Usage
1391430873465,eye,Class hierarchy
1391430880176,log,EntitySelected
1391430900445,eye,Class hierarchy
1391430912308,eye,Property hierarchy
1391430912675,eye,Popup
1391430924581,log,PropertyAddition
1391430925390,eye,Property hierarchy
1391430925604,log,EntitySelected
1391430925924,eye,Property hierarchy
1391430945786,log,PropertyAddition
1391430946710,log,EntitySelected
1391430985184,log,PropertyAddition
1391430990749,eye,Property hierarchy
1391430992748,eye,Popup
1391430993598,eye,Property hierarchy
1391431013950,log,EntitySelected
1391431021339,log,DescriptionSelected
1391431143386,log,EntityModified
1391431148050,log,DescriptionSelected
1391431163251,log,EntityModified
1391431165458,log,EntitySelected
1391431168130,log,DescriptionSelected
1391431192561,log,EntityModified
1391431193609,log,DescriptionSelected
1391431204659,log,EntityModified
1391431205458,log,EntitySelected
1391431207346,log,DescriptionSelected
1391431214999,log,EntityModified
1391431216069,log,EntitySelected
1391431218584,log,DescriptionSelected
1391431226444,log,EntityModified
1391431232363,log,M_entity_selected
1391431233705,log,DescriptionSelected
1391431254922,log,EntityModified
1391431258443,log,EntitySelected
1391431263233,log,DescriptionSelected
1391431281696,log,EntityModified
1391431290947,eye,Description
1391431304726,eye,Annotations-Usage
1391431305826,eye,Description
1391431313680,eye,Property hierarchy
1391431317191,log,SaveOntology
1391431390393,log,LoadOntology
1391431396369,log,M_hierarchy
1391431418842,log,LoadOntology
1391431430833,log,HExpanded
1391431435252,log,LoadOntology
1391431437214,log,M_hierarchy
1391431452982,log,LoadOntology
1391431465370,log,M_hierarchy
1391431465972,log,EntitySelected
1391431481287,log,PropertyAddition
1391431486872,log,DescriptionSelected
1391431496573,log,EntityModified
1391431497727,log,DescriptionSelected
1391431505298,log,EntityModified
1391431508753,log,SaveOntology
1391431541709,log,PropertyAddition
1391431543211,eye,Class hierarchy
1391431550552,log,PropertyAddition
1391431554704,eye,Class hierarchy
1391431566928,log,PropertyAddition
1391431570993,log,M_entity_selected
1391431575818,eye,Class hierarchy
1391431577471,log,DescriptionSelected
1391431602384,log,EntityModified
1391431603808,log,EntitySelected
1391431605247,log,DescriptionSelected
1391431608889,log,EntityModified
1391431610191,log,EntitySelected
1391431611390,log,DescriptionSelected
1391431617018,log,EntityModified
1391431617806,log,EntitySelected
1391431619838,log,DescriptionSelected
1391431623224,log,EntityModified
1391431630279,log,M_entity_selected
1391431633334,log,DescriptionSelected
1391431648290,log,EntityModified
1391431650979,log,EntitySelected
1391431652038,log,DescriptionSelected
1391431666883,log,EntityModified
1391431667947,log,EntitySelected
1391431669166,log,DescriptionSelected
1391431691907,log,EntityModified
1391431692671,log,EntitySelected
1391431693759,log,DescriptionSelected
1391431710104,log,EntityModified
1391431714009,log,SaveOntology
1391431732989,log,M_hierarchy
1391431733722,log,EntitySelected
1391431764109,log,ClassAddition
1391431764212,eye,Class hierarchy
1391431766363,eye,Popup
1391431772946,eye,Description
1391431773529,eye,Popup
1391431773913,eye,Class hierarchy
1391431784206,log,DescriptionSelected
1391432204726,log,EntityModified
1391432213170,log,DescriptionSelected
1391432226388,log,EntityModified
1391432232807,log,SaveOntology
1391432239699,log,DescriptionSelected
1391432239820,log,InvokeExplanation
1391432255555,log,DescriptionSelected
1391432355771,log,EntityModified
1391432356978,log,DescriptionSelected
1391432364390,log,EntityModified
1391432367597,log,SaveOntology
1391432390642,eye,Description
1391432412051,log,HExpanded
1391432413075,log,EntitySelected
1391432451987,log,M_class_addition
1391432453415,eye,Popup
1391432476405,log,M_class_addition
1391432486564,log,SaveOntology
1391432489458,log,M_entity_selected
1391432490930,log,HExpanded
1391432491482,log,EntitySelected
1391432501332,log,PropertyAddition
1391432505912,log,DescriptionSelected
1391432515752,log,EntityModified
1391432517001,log,DescriptionSelected
1391432523350,log,EntityModified
1391432526458,log,M_entity_selected
1391432529226,log,SaveOntology
1391432558049,log,HExpanded
1391432560418,log,M_entity_selected
1391432570042,log,HExpanded
1391432570657,log,EntitySelected
1391432611996,log,PropertyAddition
1391432618068,log,EntitySelected
1391432627418,log,EntityDeleted
1391432628811,log,EntitySelected
1391432633125,log,ClassAddition
1391432641066,log,PropertyAddition
1391432648128,log,DescriptionSelected
1391432659698,log,EntityModified
1391432660676,log,EntitySelected
1391432662220,log,DescriptionSelected
1391432669299,log,EntityModified
1391432670335,log,EntitySelected
1391432671440,log,DescriptionSelected
1391432675726,log,EntityModified
1391432676511,log,EntitySelected
1391432677608,log,DescriptionSelected
1391432681210,log,EntityModified
1391432682298,log,EntitySelected
1391432684087,log,DescriptionSelected
1391432687502,log,EntityModified
1391432688383,log,EntitySelected
1391432689464,log,DescriptionSelected
1391432692463,log,EntityModified
1391432693455,log,EntitySelected
1391432699695,log,DescriptionSelected
1391432734647,log,EntityModified
