timestamp,type,event
1390836193983,log,LoadOntology
1390836209248,log,M_hierarchy
1390836231545,eye,Class hierarchy
1390836269605,log,HExpanded
1390836273219,log,M_entity_selected
1390836281640,log,DescriptionSelected
1390836292377,log,EntityModified
1390836298773,log,EntitySelected
1390836301552,log,DescriptionSelected
1390836306028,log,EntityModified
1390836307475,log,EntitySelected
1390836315568,log,DescriptionSelected
1390836321623,log,EntityModified
1390836322796,log,EntitySelected
1390836324103,log,DescriptionSelected
1390836327888,log,EntityModified
1390836329082,log,EntitySelected
1390836331440,log,DescriptionSelected
1390836333758,log,EntityModified
1390836334961,log,EntitySelected
1390836337952,log,DescriptionSelected
1390836343108,log,EntityModified
1390836345676,log,EntitySelected
1390836347460,eye,Description
1390836347936,log,DescriptionSelected
1390836350172,log,EntityModified
1390836351690,log,EntitySelected
1390836354087,log,DescriptionSelected
1390836356241,log,EntityModified
1390836356817,eye,Description
1390836359667,eye,Description
1390836360114,log,EntitySelected
1390836362000,log,DescriptionSelected
1390836364430,log,EntityModified
1390836365607,log,EntitySelected
1390836367799,log,DescriptionSelected
1390836371112,log,EntityModified
1390836371633,eye,Description
1390836373105,log,EntitySelected
1390836374455,log,DescriptionSelected
1390836376447,log,EntityModified
1390836377513,log,EntitySelected
1390836380008,log,DescriptionSelected
1390836382156,log,EntityModified
1390836383102,log,EntitySelected
1390836386622,eye,Property hierarchy
1390836390341,eye,Description
1390836391359,log,DescriptionSelected
1390836393494,log,EntityModified
1390836399842,eye,Property hierarchy
1390836402258,eye,Description
1390836405615,eye,Property hierarchy
1390836413505,eye,Description
1390836414488,eye,Property hierarchy
1390836419189,log,EntitySelected
1390836419490,eye,Description
1390836422220,eye,Property hierarchy
1390836429112,eye,Class hierarchy
1390836429579,eye,Property hierarchy
1390836437079,eye,Annotations-Usage
1390836437262,eye,Class hierarchy
1390836446746,eye,File menu
1390836448795,eye,Annotations-Usage
1390836452812,eye,Class hierarchy
1390836497809,eye,Popup
1390836497975,eye,Class hierarchy
1390836505036,log,ClassAddition
1390836506014,eye,Class hierarchy
1390836512086,eye,File menu
1390836512536,eye,Class hierarchy
1390836522763,log,ClassAddition
1390836523703,eye,Popup
1390836524586,eye,Class hierarchy
1390836525367,log,EntityDragged
1390836525401,log,HExpanded
1390836525402,log,EntitySelected
1390836526319,eye,Class hierarchy
1390836527336,eye,Popup
1390836527903,eye,Class hierarchy
1390836534608,eye,Popup
1390836535658,eye,Class hierarchy
1390836546767,eye,Description
1390836546917,eye,Popup
1390836547650,eye,Class hierarchy
1390836548217,eye,Popup
1390836549250,eye,Class hierarchy
1390836549641,log,ClassAddition
1390836552534,eye,Class hierarchy
1390836562482,log,ClassAddition
1390836563137,eye,Class hierarchy
1390836567770,eye,Popup
1390836569371,eye,Class hierarchy
1390836569606,log,EntitySelected
1390836570437,eye,Class hierarchy
1390836575489,eye,Property hierarchy
1390836576239,eye,Class hierarchy
1390836579688,log,ClassAddition
1390836580506,eye,Popup
1390836582072,log,EntitySelected
1390836583056,eye,Class hierarchy
1390836586222,eye,Popup
1390836587239,eye,Property hierarchy
1390836587374,log,DescriptionSelected
1390836587589,eye,Popup
1390836597922,eye,Class hierarchy
1390836612756,eye,Property hierarchy
1390836614589,eye,Class hierarchy
1390836615550,log,Convert into defined
1390836616406,eye,Class hierarchy
1390836623129,log,EntitySelected
1390836623940,eye,Class hierarchy
1390836624742,log,DescriptionSelected
1390836630290,eye,Class hierarchy
1390836633673,eye,Class hierarchy
1390836638574,eye,Description
1390836641124,eye,Class hierarchy
1390836641574,eye,Description
1390836645573,eye,Class hierarchy
1390836649623,eye,Description
1390836669113,eye,Class hierarchy
1390836669580,eye,Property hierarchy
1390836672765,log,Convert into defined
1390836699046,eye,Description
1390836700247,eye,Class hierarchy
1390836702213,eye,Description
1390836710206,log,EntitySelected
1390836710430,eye,Description
1390836710960,log,EntitySelected
1390836711430,eye,Description
1390836711580,eye,Class hierarchy
1390836711830,eye,Description
1390836712280,eye,Class hierarchy
1390836713297,eye,Property hierarchy
1390836714013,eye,Description
1390836714296,eye,Property hierarchy
1390836714447,eye,Description
1390836714680,eye,Property hierarchy
1390836716130,eye,Description
1390836720313,eye,Annotations-Usage
1390836721013,eye,Class hierarchy
1390836721130,eye,Description
1390836724422,log,EntitySelected
1390836726447,eye,Description
1390836727446,eye,Class hierarchy
1390836728238,log,EntitySelected
1390836728563,eye,Description
1390836730589,log,DescriptionSelected
1390836730880,eye,Description
1390836732930,eye,Class hierarchy
1390836733580,eye,Description
1390836739997,eye,Class hierarchy
1390836740597,eye,Description
1390836743250,log,Convert into defined
1390836745822,log,EntitySelected
1390836746933,log,DescriptionSelected
1390836750580,eye,Description
1390836753663,eye,Class hierarchy
1390836754980,eye,Description
1390836755313,eye,Class hierarchy
1390836757797,eye,Class hierarchy
1390836761678,log,Convert into defined
1390836763130,log,EntitySelected
1390836764309,log,DescriptionSelected
1390836766011,eye,Class hierarchy
1390836768745,eye,Class hierarchy
1390836769578,eye,Description
1390836771411,eye,Class hierarchy
1390836771961,eye,Description
1390836772729,log,Convert into defined
1390836775478,log,EntitySelected
1390836777148,log,DescriptionSelected
1390836782600,log,EntityModified
1390836783783,eye,Class hierarchy
1390836784563,log,EntitySelected
1390836786299,eye,Class hierarchy
1390836787315,log,M_entity_selected
1390836789033,eye,Description
1390836791629,log,DescriptionSelected
1390836798373,log,EntityModified
1390836801295,log,M_entity_selected
1390836801371,eye,Description
1390836802413,log,DescriptionSelected
1390836807467,log,EntityModified
1390836808822,log,EntitySelected
1390836809854,eye,Class hierarchy
1390836809978,log,DescriptionSelected
1390836814711,log,EntityModified
1390836815033,eye,Class hierarchy
1390836815759,log,EntitySelected
1390836816050,eye,Description
1390836816933,log,DescriptionSelected
1390836822159,log,EntityModified
1390836822870,log,EntitySelected
1390836823067,eye,Property hierarchy
1390836824550,eye,Description
1390836824612,log,DescriptionSelected
1390836829375,log,EntityModified
1390836830405,log,EntitySelected
1390836831660,log,DescriptionSelected
1390836836074,log,EntityModified
1390836836367,eye,Class hierarchy
1390836836926,log,EntitySelected
1390836838268,log,DescriptionSelected
1390836842852,log,EntityModified
1390836844102,log,EntitySelected
1390836845260,log,DescriptionSelected
1390836850182,log,EntityModified
1390836850350,eye,Description
1390836850617,eye,Class hierarchy
1390836851214,log,EntitySelected
1390836852309,log,DescriptionSelected
1390836857076,log,EntityModified
1390836857117,eye,Description
1390836857600,eye,Class hierarchy
1390836857886,log,EntitySelected
1390836859283,log,DescriptionSelected
1390836864008,log,EntityModified
1390836864133,eye,Class hierarchy
1390836864703,log,EntitySelected
1390836866196,log,DescriptionSelected
1390836871171,log,EntityModified
1390836872126,log,EntitySelected
1390836873140,log,DescriptionSelected
1390836878105,log,EntityModified
1390836883483,eye,Description
1390836883509,log,EntitySelected
1390836883583,eye,Description
1390836884619,log,EntitySelected
1390836884934,eye,Description
1390836885862,log,M_entity_selected
1390836890784,eye,Description
1390836893576,log,ReasonerInvoked
1390836896887,log,M_hierarchy_I
1390836897786,eye,Description
1390836897871,log,HExpanded_I
1390836898052,eye,Description
1390836898908,log,HExpanded_I
1390836900005,log,EntitySelected_I
1390836904369,eye,Class hierarchy
1390836909002,eye,Description
1390836910019,eye,Class hierarchy
1390836910285,eye,Description
1390836911527,log,EntitySelected_I
1390836911552,eye,Description
1390836918719,eye,Class hierarchy
1390836919552,log,HExpanded_I
1390836919836,eye,Description
1390836923638,log,M_entity_selected_I
1390836925536,eye,Class hierarchy
1390836929893,log,EntitySelected_I
1390836935569,eye,Class hierarchy
1390836938150,log,EntitySelected_I
1390836947619,eye,Class hierarchy
1390836950882,log,DescriptionSelected
1390836951853,eye,Class hierarchy
1390836953885,log,DescriptionSelected
1390836955336,eye,Description
1390836957636,eye,Class hierarchy
1390836958605,log,M_entity_selected_I
1390836958653,eye,Class hierarchy
1390836958800,log,HExpanded_I
1390836959685,log,EntitySelected_I
1390836960053,eye,Class hierarchy
1390836962253,eye,Description
1390836962369,eye,Class hierarchy
1390836966803,eye,Description
1390836969429,log,EntitySelected_I
1390836971236,eye,Class hierarchy
1390836971703,eye,Description
1390836973969,eye,Class hierarchy
1390836977903,eye,Description
1390836978186,eye,Class hierarchy
1390836979386,eye,Description
1390836980237,log,EntitySelected_I
1390836982487,eye,Class hierarchy
1390836986053,log,M_entity_selected_I
1390836988185,log,DescriptionSelected
1390836988268,log,EntityDeleted
1390836989221,eye,Class hierarchy
1390836990188,eye,Description
1390836991005,log,ReasonerInvoked
1390836992371,eye,Class hierarchy
1390836993828,log,M_hierarchy_I
1390836994371,eye,Description
1390836994521,eye,Class hierarchy
1390836994549,log,EntitySelected_I
1390836995071,eye,Description
1390836996359,log,HExpanded_I
1390836997397,log,M_entity_selected_I
1390836997804,eye,Description
1390836997965,log,EntitySelected_I
1390836999271,eye,Description
1390837006221,eye,Class hierarchy
1390837006571,eye,Description
1390837007893,log,EntitySelected_I
1390837008021,eye,Description
1390837011571,eye,Class hierarchy
1390837011954,eye,Description
1390837012189,log,EntitySelected_I
1390837012254,eye,Description
1390837012904,eye,Class hierarchy
1390837013787,log,EntitySelected_I
1390837014271,eye,Class hierarchy
1390837015549,log,EntitySelected_I
1390837016737,eye,Class hierarchy
1390837019021,log,EntitySelected_I
1390837022174,log,HExpanded_I
1390837023371,eye,Description
1390837031885,log,M_entity_selected_I
1390837033343,log,DescriptionSelected
1390837035887,eye,Class hierarchy
1390837036137,eye,Description
1390837037161,log,Convert into defined
1390837038120,eye,Description
1390837038261,log,EntitySelected
1390837038420,eye,Description
1390837040970,log,DescriptionSelected
1390837041553,eye,Description
1390837044487,eye,Class hierarchy
1390837044849,log,Convert into defined
1390837046220,eye,Class hierarchy
1390837046801,log,ReasonerInvoked
1390837048767,log,M_hierarchy_I
1390837049070,eye,Class hierarchy
1390837049655,log,HExpanded_I
1390837050520,eye,Description
1390837051023,log,HExpanded_I
1390837051837,eye,Description
1390837052024,log,HExpanded_I
1390837052037,eye,Description
1390837053887,eye,Class hierarchy
1390837055020,eye,Description
1390837056920,eye,Class hierarchy
1390837057770,eye,Description
1390837063437,eye,Class hierarchy
1390837066304,eye,Description
1390837070404,eye,Description
1390837070970,eye,Class hierarchy
1390837073137,log,SaveOntology
1390837079737,eye,Class hierarchy
1390837092326,log,LoadOntology
1390837092347,log,EntitySelected
1390837096098,log,M_hierarchy
1390837098851,eye,File menu
1390837125222,log,EntitySelected
1390837152001,eye,Class hierarchy
1390837171904,eye,Annotations-Usage
1390837193443,log,LoadOntology
1390837197611,log,M_hierarchy
1390837209488,eye,Class hierarchy
1390837211753,eye,File menu
