timestamp,type,event
1389978135023,log,LoadOntology
1389978140702,eye,Class hierarchy
1389978147643,log,M_hierarchy
1389978167570,eye,Class hierarchy
1389978168752,log,HExpanded
1389978170552,log,M_entity_selected
1389978170704,eye,Description
1389978175154,log,EntitySelected
1389978175237,eye,Description
1389978178570,eye,Property hierarchy
1389978178970,eye,Description
1389978184070,eye,Class hierarchy
1389978193087,eye,Description
1389978200060,eye,Property hierarchy
1389978209131,log,DescriptionSelected
1389978308552,log,EntityModified
1389978312365,eye,Class hierarchy
1389978327621,log,SaveOntology
1389978332398,log,EntitySelected
1389978332836,log,EntitySelected
1389978337906,log,DescriptionSelected
1389978352563,log,EntityModified
1389978357812,log,EntitySelected
1389978358908,eye,Class hierarchy
1389978360114,log,DescriptionSelected
1389978366449,log,EntityModified
1389978367819,log,EntitySelected
1389978373369,log,DescriptionSelected
1389978380509,log,EntityModified
1389978382008,log,EntitySelected
1389978383251,eye,Property hierarchy
1389978384834,log,DescriptionSelected
1389978390933,log,EntityModified
1389978391435,eye,Class hierarchy
1389978395899,log,EntitySelected
1389978396368,eye,Class hierarchy
1389978398163,log,M_entity_selected
1389978399101,eye,Class hierarchy
1389978403951,log,SaveOntology
1389978408416,log,DescriptionSelected
1389978413883,log,EntityModified
1389978415162,log,EntitySelected
1389978415674,eye,Property hierarchy
1389978418141,eye,Class hierarchy
1389978418953,log,DescriptionSelected
1389978424702,log,EntityModified
1389978425581,log,EntitySelected
1389978427034,log,DescriptionSelected
1389978436273,log,EntityModified
1389978437846,log,EntitySelected
1389978442526,log,DescriptionSelected
1389978452729,log,EntityModified
1389978456543,eye,Property hierarchy
1389978456690,log,EntitySelected
1389978456759,eye,Property hierarchy
1389978459226,eye,Class hierarchy
1389978459977,log,DescriptionSelected
1389978465364,log,EntityModified
1389978466505,log,EntitySelected
1389978468025,log,DescriptionSelected
1389978476515,log,EntityModified
1389978480825,log,EntitySelected
1389978480942,eye,Class hierarchy
1389978482385,log,DescriptionSelected
1389978487769,log,EntityModified
1389978488605,eye,Class hierarchy
1389978490022,eye,File menu
1389978490850,log,EntitySelected
1389978491622,eye,Property hierarchy
1389978491789,eye,Description
1389978492617,log,DescriptionSelected
1389978499291,log,EntityModified
1389978528138,eye,Class hierarchy
1389978531609,log,EntitySelected
1389978533002,eye,Description
1389978533102,eye,Popup
1389978540864,eye,Class hierarchy
1389978541447,eye,Popup
1389978543530,eye,Class hierarchy
1389978553298,log,ClassAddition
1389978558797,eye,Description
1389978559921,log,DescriptionSelected
1389978576979,eye,Property hierarchy
1389978581491,eye,Class hierarchy
1389978607597,eye,Class hierarchy
1389978608281,eye,Class hierarchy
1389978613516,eye,Class hierarchy
1389978621409,eye,Class hierarchy
