timestamp,type,event
1389980616387,null,M_hierarchy_I
1390227057869,log,LoadOntology
1390227123645,eye,File menu
1390227133100,log,LoadOntology
1390227149824,eye,File menu
1390227151458,eye,Property hierarchy
1390227152808,eye,Class hierarchy
1390227159541,eye,Property hierarchy
1390227159907,eye,Class hierarchy
1390227165212,log,HExpanded
1390227166923,log,ReasonerInvoked
1390227177126,log,M_hierarchy
1390227177355,eye,Class hierarchy
1390227178059,log,EntitySelected
1390227178938,eye,Class hierarchy
1390227185255,eye,Description
1390227188221,eye,Class hierarchy
1390227192461,log,HExpanded
1390227193165,eye,Description
1390227193727,log,HExpanded
1390227193965,eye,Description
1390227199311,log,M_entity_selected
1390227208164,log,DescriptionSelected
1390227257554,log,EntityModified
1390227261001,eye,Description
1390227264301,log,DescriptionSelected
1390227275209,log,EntityModified
1390227279166,log,EntitySelected
1390227280468,log,DescriptionSelected
1390227302941,log,EntityModified
1390227303045,eye,Description
1390227309072,log,EntityEdited:finished
1390227313760,eye,Description
1390227317139,log,EntitySelected
1390227318987,eye,Description
1390227319507,log,EntitySelected
1390227321995,log,DescriptionSelected
1390227342666,log,EntityModified
1390227344233,log,EntitySelected
1390227347084,eye,Class hierarchy
1390227347901,eye,Description
1390227348874,log,DescriptionSelected
1390227360963,log,EntityModified
1390227361817,eye,Class hierarchy
1390227362234,eye,Description
1390227365201,eye,Class hierarchy
1390227369958,log,M_entity_selected
1390227371255,log,DescriptionSelected
1390227379031,log,EntityModified
1390227383335,log,EntitySelected
1390227384504,log,DescriptionSelected
1390227389369,log,EntityModified
1390227389524,eye,Annotations-Usage
1390227389844,log,EntityEdited:finished
1390227390791,eye,Description
1390227392277,log,ReasonerInvoked
1390227393605,log,EntitySelected
1390227396308,eye,Description
1390227399067,log,DescriptionSelected
1390227407126,log,EntityModified
1390227416279,eye,Class hierarchy
1390227417639,log,EntitySelected
1390227417679,eye,Class hierarchy
1390227421859,log,DescriptionSelected
1390227430020,log,EntityModified
1390227432414,log,EntitySelected
1390227436585,log,DescriptionSelected
1390227451590,log,EntityModified
1390227452773,log,EntitySelected
1390227452973,eye,Description
1390227455307,log,DescriptionSelected
1390227461550,log,EntityModified
1390227464115,eye,Annotations-Usage
