timestamp,type,event
1392984697684,log,LoadOntology
1392984710988,eye,Class hierarchy
1392984713124,log,M_hierarchy
1392984713221,eye,Class hierarchy
1392984714738,log,M_hierarchy
1392984749613,eye,Class hierarchy
1392984753908,log,HExpanded
1392984754813,eye,Class hierarchy
1392984760887,log,HExpanded
1392984773370,eye,Class hierarchy
1392984786916,log,EntitySelected
1392984790098,eye,Class hierarchy
1392984808634,eye,Popup
1392984810001,eye,Class hierarchy
1392984810568,eye,Popup
1392984811901,eye,Description
1392984812585,eye,Popup
1392984813268,eye,Description
1392984813634,eye,Popup
1392984813885,eye,Description
1392984814036,eye,Popup
1392984814952,eye,Class hierarchy
1392984819438,eye,Description
1392984819537,log,ClassAddition
1392984819561,eye,Description
1392984825009,log,M_description_selected
1392984826846,eye,Class hierarchy
1392984828379,eye,Description
1392984828796,eye,Class hierarchy
1392984829880,eye,Description
1392984830496,eye,Class hierarchy
1392984831963,eye,Description
1392984834132,log,M_entity_selected
1392984841097,log,Undo
1392984844174,log,LoadOntology
1392984847768,log,M_hierarchy
1392984848602,eye,Class hierarchy
1392984850216,log,M_hierarchy
1392984850223,eye,Class hierarchy
1392984851175,log,EntitySelected
1392984852848,eye,Class hierarchy
1392984856951,eye,Popup
1392984857135,eye,Class hierarchy
1392984857335,eye,Popup
1392984859335,eye,Class hierarchy
1392984863179,log,ClassAddition
1392984866113,log,DescriptionSelected
1392984877608,log,EntityModified
1392984879879,eye,Class hierarchy
1392984891138,log,M_entity_selected
1392984892646,eye,Class hierarchy
1392984894754,log,M_entity_selected
1392984896680,eye,Class hierarchy
1392984900451,log,M_entity_selected
1392984901180,eye,Description
1392984901630,eye,Class hierarchy
1392984905397,eye,Annotations-Usage
1392984907337,log,DescriptionSelected
1392984909668,log,Convert into defined
1392984912101,eye,Class hierarchy
1392984928441,eye,Popup
1392984933264,eye,Class hierarchy
1392984936417,eye,Popup
1392984937689,eye,Class hierarchy
1392984942347,log,ClassAddition
1392984943760,log,DescriptionSelected
1392984954530,log,EntityModified
1392984955498,eye,Class hierarchy
1392984957104,log,DescriptionSelected
1392984958131,eye,Class hierarchy
1392984959110,log,Convert into defined
1392984961466,log,EntitySelected
1392984964581,eye,Class hierarchy
1392984967211,log,M_entity_selected
1392984967741,eye,Class hierarchy
